Budget,Certificate,Country,Director,Genre,Gross,IMDb_Rating,IMDb_Votes,Language,Production_Co,Release_Date,Runtime,Star,Title
29000000,                    PG-13,USA,Elizabeth Banks,Comedy,287506194,6.4,129283,English, Brownstone Productions (II),15 May 2015 (USA),115 min,Anna Kendrick,Pitch Perfect 2 (2015) 
5000000,                    R,USA,Joel Edgerton,Drama,0,7.1,122439,English, Blumhouse Productions,7 August 2015 (USA),108 min,Jason Bateman,The Gift (2015) 
35000000,                    R,USA,Judd Apatow,Comedy,140795793,6.2,120861,English, Universal Pictures,17 July 2015 (USA),125 min,Amy Schumer,Trainwreck (2015) 
88000000,                    PG-13,USA,Chris Columbus,Action,244866996,5.6,118474,English, Columbia Pictures,24 July 2015 (USA),105 min,Adam Sandler,Pixels (2015) 
55000000,                    R,Canada,Guillermo del Toro,Drama,0,6.5,118096,English, Double Dare You (DDY),16 October 2015 (USA),119 min,Mia Wasikowska,Crimson Peak (2015) 
58000000,                    R,USA,Tim Miller,Action,783112979,8,806778,English, Twentieth Century Fox,12 February 2016 (USA),108 min,Ryan Reynolds,Deadpool (2016) 
250000000,                    PG-13,USA,Zack Snyder,Action,873634919,6.5,569141,English, Warner Bros.,25 March 2016 (USA),151 min,Ben Affleck,Batman v Superman: Dawn of Justice (2016) 
250000000,                    PG-13,USA,Anthony Russo,Action,1153304495,7.8,560730,English, Marvel Studios,6 May 2016 (USA),147 min,Chris Evans,Captain America: Civil War (2016) 
175000000,                    PG-13,USA,David Ayer,Action,746846894,6.1,523206,English, Atlas Entertainment,5 August 2016 (USA),123 min,Will Smith,Suicide Squad (2016) 
47000000,                    PG-13,USA,Denis Villeneuve,Drama,203388186,7.9,504758,English, Lava Bear Films,11 November 2016 (USA),116 min,Amy Adams,Arrival (2016) 
165000000,                    PG-13,USA,Scott Derrickson,Action,677718395,7.5,492994,English, Marvel Studios,4 November 2016 (USA),115 min,Benedict Cumberbatch,Doctor Strange (2016) 
200000000,                    PG-13,USA,Gareth Edwards,Action,1056057273,7.8,469712,English, Lucasfilm,16 December 2016 (USA),133 min,Felicity Jones,Rogue One: A Star Wars Story (2016) 
30000000,                    PG-13,USA,Damien Chazelle,Comedy,446092357,8,427182,English, Summit Entertainment,25 December 2016 (USA),128 min,Ryan Gosling,La La Land (2016) 
150000000,                    PG,USA,Byron Howard,Animation,1023784195,8,376671,English, Walt Disney Pictures,4 March 2016 (USA),108 min,Ginnifer Goodwin,Zootopia (2016) 
40000000,                    R,Australia,Mel Gibson,Biography,175302354,8.1,359255,English, Cross Creek Pictures,4 November 2016 (USA),139 min,Andrew Garfield,Hacksaw Ridge (2016) 
180000000,                    PG-13,UK,David Yates,Adventure,814037575,7.3,358653,English, Heyday Films,18 November 2016 (USA),133 min,Eddie Redmayne,Fantastic Beasts and Where to Find Them (2016) 
178000000,                    PG-13,USA,Bryan Singer,Action,543934787,7,347591,English, Twentieth Century Fox,27 May 2016 (USA),144 min,James McAvoy,X-Men: Apocalypse (2016) 
9000000,                    PG-13,Japan,M. Night Shyamalan,Horror,278454358,7.3,343038,English, Universal Pictures,20 January 2017 (USA),117 min,James McAvoy,Split (2016) 
110000000,                    PG-13,USA,Morten Tyldum,Drama,303144152,7,305273,English, Columbia Pictures,21 December 2016 (USA),116 min,Jennifer Lawrence,Passengers (2016) 
15000000,                    PG-13,USA,Dan Trachtenberg,Drama,0,7.2,257228,English, Paramount Pictures,11 March 2016 (USA),103 min,John Goodman,10 Cloverfield Lane (2016) 
175000000,                    PG,UK,Jon Favreau,Adventure,966550600,7.4,238648,English, Fairview Entertainment,15 April 2016 (USA),106 min,Neel Sethi,The Jungle Book (2016) 
50000000,                    R,USA,Shane Black,Action,62788218,7.4,236143,English, Misty Mountains,20 May 2016 (USA),116 min,Russell Crowe,The Nice Guys (2016) 
44000000,                    R,USA,Gavin O'Connor,Action,155160045,7.3,230251,English, Warner Bros.,14 October 2016 (USA),128 min,Ben Affleck,The Accountant (2016) 
160000000,                    PG-13,China,Duncan Jones,Action,433677183,6.9,223298,English, Legendary Entertainment,10 June 2016 (USA),123 min,Travis Fimmel,Warcraft: The Beginning (2016) 
1500000,                    R,USA,Barry Jenkins,Drama,55561162,7.4,223129,English, A24,18 November 2016 (USA),111 min,Mahershala Ali,Moonlight (2016) 
150000000,                    PG,USA,Ron Clements,Animation,643331111,7.6,219572,English, Hurwitz Creative,23 November 2016 (USA),107 min,Auli'i Cravalho,Moana (2016) 
90000000,                    PG-13,France,Jon M. Chu,Action,334901337,6.5,211721,English, Summit Entertainment,10 June 2016 (USA),129 min,Jesse Eisenberg,Now You See Me 2 (2016) 
8500000,                    R,USA,Kenneth Lonergan,Drama,62201310,7.8,211203,English, Amazon Studios,16 December 2016 (USA),137 min,Casey Affleck,Manchester by the Sea (2016) 
200000000,                    PG,USA,Andrew Stanton,Animation,1028570889,7.3,210151,English, Pixar Animation Studios,17 June 2016 (USA),97 min,Ellen DeGeneres,Finding Dory (2016) 
185000000,                    PG-13,USA,Justin Lin,Action,343471816,7.1,207543,English, Paramount Pictures,22 July 2016 (USA),122 min,Chris Pine,Star Trek Beyond (2016) 
22500000,                    R,USA,Tom Ford,Drama,28450387,7.5,202074,English, Focus Features,9 December 2016 (USA),116 min,Amy Adams,Nocturnal Animals (2016) 
60000000,                    PG-13,USA,Clint Eastwood,Biography,240797623,7.5,199119,English, Flashlight Films,9 September 2016 (USA),96 min,Tom Hanks,Sully (2016) 
40000000,                    R,Canada,James Wan,Drama,320392818,7.4,190221,English, New Line Cinema,10 June 2016 (USA),134 min,Vera Farmiga,The Conjuring 2 (2016) 
120000000,                    PG-13,USA,Paul Greengrass,Action,415484914,6.6,188477,English, Universal Pictures,29 July 2016 (USA),123 min,Matt Damon,Jason Bourne (2016) 
144000000,                    PG-13,USA,Paul Feig,Action,229147509,5.2,184819,English, Columbia Pictures,15 July 2016 (USA),116 min,Melissa McCarthy,Ghostbusters (2016) 
9900000,                    R,USA,Fede Alvarez,Crime,159047649,7.1,183246,English, Screen Gems,26 August 2016 (USA),88 min,Stephen Lang,Don't Breathe (2016) 
12000000,                    PG-13,UK,Garth Davis,Biography,149571027,8.1,178412,English, The Weinstein Company,6 January 2017 (USA),118 min,Dev Patel,Lion (2016) 
12000000,                    R,USA,David Mackenzie,Action,26749794,7.6,172829,English, Sidney Kimmel Entertainment,26 August 2016 (USA),102 min,Chris Pine,Hell or High Water (2016) 
20000000,                    PG-13,UK,Thea Sharrock,Drama,208314186,7.4,168731,English, Metro-Goldwyn-Mayer (MGM),3 June 2016 (USA),106 min,Emilia Clarke,Me Before You (2016) 
25000000,                    PG,USA,Theodore Melfi,Biography,235956898,7.8,168057,English, Fox 2000 Pictures,6 January 2017 (USA),127 min,Taraji P. Henson,Hidden Figures (2016) 
90000000,                    PG-13,USA,Antoine Fuqua,Action,162526238,6.9,166518,English, Metro-Goldwyn-Mayer (MGM),23 September 2016 (USA),132 min,Denzel Washington,The Magnificent Seven (2016) 
